AUDITORIA ESTRUCTURAL — Bloque D: columnas
Generado: 2026-06-19T07:07:51.802Z
Filas: 2224
================================================================================

column_default	column_name	data_type	is_nullable	table_name
'logistic_documents'::text	storage_bucket	text	NO	inventory_guides
	storage_path	text	NO	inventory_guides
	content_hash	text	NO	inventory_guides
'1.0'::text	template_version	text	NO	inventory_guides
'active'::text	status	text	NO	inventory_guides
	superseded_by	uuid	YES	inventory_guides
	generated_by	uuid	YES	inventory_guides
clock_timestamp()	generated_at	timestamp with time zone	NO	inventory_guides
uuid_generate_v4()	id	uuid	NO	inventory_items
	category_id	uuid	YES	inventory_items
	code	text	YES	inventory_items
	name	text	NO	inventory_items
	description	text	YES	inventory_items
	unit	text	NO	inventory_items
0	min_stock	numeric	YES	inventory_items
0	cost_per_unit	numeric	YES	inventory_items
	barcode	text	YES	inventory_items
	image_url	text	YES	inventory_items
true	is_active	boolean	YES	inventory_items
now()	created_at	timestamp with time zone	YES	inventory_items
now()	updated_at	timestamp with time zone	YES	inventory_items
	school_id	uuid	YES	inventory_items
gen_random_uuid()	id	uuid	NO	inventory_location_movements
	product_id	uuid	NO	inventory_location_movements
	location_id	uuid	NO	inventory_location_movements
	movement_type	text	NO	inventory_location_movements
	quantity_delta	integer	NO	inventory_location_movements
	stock_before	integer	NO	inventory_location_movements
	stock_after	integer	NO	inventory_location_movements
	reference_id	uuid	YES	inventory_location_movements
	reason	text	YES	inventory_location_movements
	created_by	uuid	YES	inventory_location_movements
clock_timestamp()	created_at	timestamp with time zone	NO	inventory_location_movements
gen_random_uuid()	id	uuid	NO	inventory_location_transfer_items
	transfer_id	uuid	NO	inventory_location_transfer_items
	product_id	uuid	NO	inventory_location_transfer_items
	quantity	integer	NO	inventory_location_transfer_items
gen_random_uuid()	id	uuid	NO	inventory_location_transfers
	transfer_number	text	NO	inventory_location_transfers
	from_location_id	uuid	NO	inventory_location_transfers
	to_location_id	uuid	NO	inventory_location_transfers
'completed'::text	status	text	NO	inventory_location_transfers
	notes	text	YES	inventory_location_transfers
	contact_person	text	YES	inventory_location_transfers
	contact_phone	text	YES	inventory_location_transfers
	approved_by	uuid	YES	inventory_location_transfers
	created_by	uuid	YES	inventory_location_transfers
clock_timestamp()	created_at	timestamp with time zone	NO	inventory_location_transfers
gen_random_uuid()	id	uuid	NO	inventory_locations
	code	text	NO	inventory_locations
	name	text	NO	inventory_locations
	location_type	text	NO	inventory_locations
	school_id	uuid	YES	inventory_locations
false	is_primary	boolean	NO	inventory_locations
true	is_active	boolean	NO	inventory_locations
clock_timestamp()	created_at	timestamp with time zone	NO	inventory_locations
uuid_generate_v4()	id	uuid	NO	inventory_movements
	item_id	uuid	YES	inventory_movements
	from_school_id	uuid	YES	inventory_movements
	to_school_id	uuid	YES	inventory_movements
	quantity	numeric	NO	inventory_movements
	movement_type	text	NO	inventory_movements
	reference_id	uuid	YES	inventory_movements
	reference_type	text	YES	inventory_movements
	notes	text	YES	inventory_movements
	created_by	uuid	YES	inventory_movements
now()	created_at	timestamp with time zone	YES	inventory_movements
uuid_generate_v4()	id	uuid	NO	inventory_stock
	item_id	uuid	YES	inventory_stock
	school_id	uuid	YES	inventory_stock
0	quantity	numeric	YES	inventory_stock
now()	last_updated	timestamp with time zone	YES	inventory_stock
	updated_by	uuid	YES	inventory_stock
gen_random_uuid()	id	uuid	NO	inventory_transaction_items
	transaction_id	uuid	NO	inventory_transaction_items
	product_id	uuid	NO	inventory_transaction_items
	total_quantity	integer	NO	inventory_transaction_items
0	unit_cost	numeric	NO	inventory_transaction_items
	uom_id	uuid	YES	inventory_transaction_items
gen_random_uuid()	id	uuid	NO	inventory_transactions
	internal_transaction_id	text	NO	inventory_transactions
	vendor_doc_number	text	YES	inventory_transactions
'factura'::text	doc_type	text	NO	inventory_transactions
	supplier_id	uuid	YES	inventory_transactions
false	is_warehouse_only	boolean	NO	inventory_transactions
	warehouse_school_id	uuid	YES	inventory_transactions
	evidence_url	text	YES	inventory_transactions
0	total_amount	numeric	NO	inventory_transactions
'completed'::text	status	text	NO	inventory_transactions
	notes	text	YES	inventory_transactions
	created_by	uuid	YES	inventory_transactions
clock_timestamp()	created_at	timestamp with time zone	NO	inventory_transactions
uuid_generate_v4()	id	uuid	NO	invoice_items
	invoice_id	uuid	NO	invoice_items
	product_id	uuid	YES	invoice_items
	product_code	text	YES	invoice_items
	description	text	NO	invoice_items
'NIU'::text	unit_type	text	YES	invoice_items
	quantity	numeric	NO	invoice_items
	unit_price	numeric	NO	invoice_items
	subtotal	numeric	NO	invoice_items
	igv_amount	numeric	NO	invoice_items
	total	numeric	NO	invoice_items
0	discount_percentage	numeric	YES	invoice_items
0	discount_amount	numeric	YES	invoice_items
'gravada'::text	tax_type	text	YES	invoice_items
now()	created_at	timestamp with time zone	NO	invoice_items
	school_id	uuid	NO	invoice_sequences
	serie	text	NO	invoice_sequences
0	last_numero	integer	NO	invoice_sequences
now()	updated_at	timestamp with time zone	NO	invoice_sequences
uuid_generate_v4()	id	uuid	NO	invoices
	school_id	uuid	NO	invoices
	sale_id	uuid	YES	invoices
	payment_id	uuid	YES	invoices
	cashier_id	uuid	YES	invoices
	invoice_type	text	NO	invoices
	document_type_code	text	NO	invoices
	serie	text	NO	invoices
	numero	integer	NO	invoices
	full_number	text	YES	invoices
	client_document_type	text	YES	invoices
	client_document_number	text	YES	invoices
	client_name	text	NO	invoices
	client_address	text	YES	invoices
	client_email	text	YES	invoices
'PEN'::text	currency	text	NO	invoices
	subtotal	numeric	NO	invoices
0.18	igv_rate	numeric	NO	invoices
	igv_amount	numeric	NO	invoices
0	discount_amount	numeric	YES	invoices
	total_amount	numeric	NO	invoices
	items	jsonb	NO	invoices
'pending'::text	sunat_status	text	YES	invoices
	sunat_response_code	text	YES	invoices
	sunat_response_message	text	YES	invoices
	nubefact_id	text	YES	invoices
	external_reference	text	YES	invoices
	pdf_url	text	YES	invoices
	xml_url	text	YES	invoices
	cdr_url	text	YES	invoices
	hash_signature	text	YES	invoices
	qr_code	text	YES	invoices
	related_invoice_id	uuid	YES	invoices
	cancellation_reason	text	YES	invoices
	notes	text	YES	invoices
	payment_method	text	YES	invoices
CURRENT_DATE	emission_date	date	NO	invoices
	due_date	date	YES	invoices
	sent_to_sunat_at	timestamp with time zone	YES	invoices
	cancelled_at	timestamp with time zone	YES	invoices
now()	created_at	timestamp with time zone	NO	invoices
now()	updated_at	timestamp with time zone	NO	invoices
	created_by	uuid	YES	invoices
	transaction_id	uuid	YES	invoices
	nubefact_response	jsonb	YES	invoices
true	is_demo	boolean	NO	invoices
	original_invoice_id	uuid	YES	invoices
	nubefact_ticket	text	YES	invoices
0	evidence_retry_count	smallint	NO	invoices
uuid_generate_v4()	id	uuid	NO	invoicing_logs
	invoice_id	uuid	YES	invoicing_logs
	event_type	text	NO	invoicing_logs
	event_message	text	YES	invoicing_logs
	request_payload	jsonb	YES	invoicing_logs
	response_payload	jsonb	YES	invoicing_logs
	error_code	text	YES	invoicing_logs
	error_message	text	YES	invoicing_logs
now()	created_at	timestamp with time zone	NO	invoicing_logs
	created_by	uuid	YES	invoicing_logs
	ip_address	inet	YES	invoicing_logs
	user_agent	text	YES	invoicing_logs
	action	text	YES	invoicing_logs
	status	text	YES	invoicing_logs
uuid_generate_v4()	id	uuid	NO	logs_auto_facturacion
	school_id	uuid	NO	logs_auto_facturacion
	fecha_proceso	date	NO	logs_auto_facturacion
	estado	text	NO	logs_auto_facturacion
0	dias_emitidos	integer	NO	logs_auto_facturacion
0	monto_total	numeric	NO	logs_auto_facturacion
	detalle	jsonb	YES	logs_auto_facturacion
now()	created_at	timestamp with time zone	NO	logs_auto_facturacion
gen_random_uuid()	id	uuid	NO	logs_pasarela
	provider_name	text	NO	logs_pasarela
	gateway_reference_id	text	NO	logs_pasarela
	gateway_transaction_id	text	YES	logs_pasarela
	payment_transaction_id	uuid	YES	logs_pasarela
	webhook_event_id	uuid	YES	logs_pasarela
'webhook'::text	event_type	text	NO	logs_pasarela
'received'::text	status	text	NO	logs_pasarela
'{}'::jsonb	payload	jsonb	NO	logs_pasarela
	error_message	text	YES	logs_pasarela
	processed_at	timestamp with time zone	YES	logs_pasarela
1	attempt_count	integer	NO	logs_pasarela
now()	created_at	timestamp with time zone	NO	logs_pasarela
now()	updated_at	timestamp with time zone	NO	logs_pasarela
	student_id	uuid	YES	low_balance_students
	student_name	text	YES	low_balance_students
	balance	numeric	YES	low_balance_students
	grade	text	YES	low_balance_students
	parent_name	text	YES	low_balance_students
	parent_phone	text	YES	low_balance_students
	parent_email	text	YES	low_balance_students
gen_random_uuid()	id	uuid	NO	lunch_categories
	school_id	uuid	YES	lunch_categories
	name	character varying	NO	lunch_categories
	description	text	YES	lunch_categories
	target_type	character varying	NO	lunch_categories
'#3B82F6'::character varying	color	character varying	YES	lunch_categories
'utensils'::character varying	icon	character varying	YES	lunch_categories
	price	numeric	YES	lunch_categories
true	is_active	boolean	YES	lunch_categories
0	display_order	integer	YES	lunch_categories
now()	created_at	timestamp with time zone	YES	lunch_categories
now()	updated_at	timestamp with time zone	YES	lunch_categories
false	is_kitchen_sale	boolean	YES	lunch_categories
true	allows_addons	boolean	YES	lunch_categories
'standard'::text	menu_mode	text	NO	lunch_categories
gen_random_uuid()	id	uuid	NO	lunch_category_addons
	category_id	uuid	NO	lunch_category_addons
	name	character varying	NO	lunch_category_addons
	description	text	YES	lunch_category_addons
	price	numeric	NO	lunch_category_addons
true	is_active	boolean	YES	lunch_category_addons
0	display_order	integer	YES	lunch_category_addons
now()	created_at	timestamp with time zone	YES	lunch_category_addons
now()	updated_at	timestamp with time zone	YES	lunch_category_addons
	created_by	uuid	YES	lunch_category_addons
uuid_generate_v4()	id	uuid	NO	lunch_configuration
	school_id	uuid	NO	lunch_configuration
7.50	lunch_price	numeric	NO	lunch_configuration
'20:00:00'::time without time zone	order_deadline_time	time without time zone	NO	lunch_configuration
1	order_deadline_days	integer	NO	lunch_configuration
'07:00:00'::time without time zone	cancellation_deadline_time	time without time zone	NO	lunch_configuration
0	cancellation_deadline_days	integer	NO	lunch_configuration
true	orders_enabled	boolean	NO	lunch_configuration
now()	created_at	timestamp with time zone	YES	lunch_configuration
now()	updated_at	timestamp with time zone	YES	lunch_configuration
'07:00:00'::time without time zone	delivery_start_time	time without time zone	YES	lunch_configuration
'17:00:00'::time without time zone	delivery_end_time	time without time zone	YES	lunch_configuration
true	auto_close_day	boolean	YES	lunch_configuration
true	auto_mark_as_delivered	boolean	YES	lunch_configuration
false	force_prepayment	boolean	NO	lunch_configuration
uuid_generate_v4()	id	uuid	NO	lunch_items_library
	type	text	NO	lunch_items_library
	name	text	NO	lunch_items_library
1	use_count	integer	YES	lunch_items_library
now()	last_used	timestamp with time zone	YES	lunch_items_library
uuid_generate_v4()	id	uuid	NO	lunch_menu_config
	school_id	uuid	NO	lunch_menu_config
7	days_visible_ahead	integer	YES	lunch_menu_config
true	show_past_menus	boolean	YES	lunch_menu_config
now()	created_at	timestamp with time zone	YES	lunch_menu_config
now()	updated_at	timestamp with time zone	YES	lunch_menu_config
uuid_generate_v4()	id	uuid	NO	lunch_menus
	school_id	uuid	NO	lunch_menus
	date	date	NO	lunch_menus
	starter	text	YES	lunch_menus
	main_course	text	NO	lunch_menus
	beverage	text	YES	lunch_menus
	dessert	text	YES	lunch_menus
	notes	text	YES	lunch_menus
	created_by	uuid	YES	lunch_menus
now()	created_at	timestamp with time zone	YES	lunch_menus
now()	updated_at	timestamp with time zone	YES	lunch_menus
	category_id	uuid	YES	lunch_menus
'students'::character varying	target_type	character varying	YES	lunch_menus
false	is_kitchen_product	boolean	YES	lunch_menus
	product_name	character varying	YES	lunch_menus
	product_price	numeric	YES	lunch_menus
false	allows_modifiers	boolean	YES	lunch_menus
'[]'::jsonb	garnishes	jsonb	YES	lunch_menus
	month	timestamp with time zone	YES	lunch_monthly_summary
	school_id	uuid	YES	lunch_monthly_summary
	total_menus	bigint	YES	lunch_monthly_summary
	days_with_menu	bigint	YES	lunch_monthly_summary
	menus_with_starter	bigint	YES	lunch_monthly_summary
	menus_with_dessert	bigint	YES	lunch_monthly_summary
gen_random_uuid()	id	uuid	NO	lunch_order_addons
	order_id	uuid	NO	lunch_order_addons
	addon_id	uuid	NO	lunch_order_addons
	addon_name	character varying	NO	lunch_order_addons
	addon_price	numeric	NO	lunch_order_addons
1	quantity	integer	NO	lunch_order_addons
	subtotal	numeric	NO	lunch_order_addons
now()	created_at	timestamp with time zone	YES	lunch_order_addons
gen_random_uuid()	id	uuid	NO	lunch_orders
	student_id	uuid	YES	lunch_orders
	order_date	date	NO	lunch_orders
'pending'::text	status	text	NO	lunch_orders
now()	created_at	timestamp with time zone	YES	lunch_orders
now()	updated_at	timestamp with time zone	YES	lunch_orders
	created_by	uuid	YES	lunch_orders
	notes	text	YES	lunch_orders
	teacher_id	uuid	YES	lunch_orders
	delivered_at	timestamp with time zone	YES	lunch_orders
	cancelled_at	timestamp with time zone	YES	lunch_orders
	postponed_at	timestamp with time zone	YES	lunch_orders
	cancellation_reason	text	YES	lunch_orders
	postponement_reason	text	YES	lunch_orders
	delivered_by	uuid	YES	lunch_orders
	cancelled_by	uuid	YES	lunch_orders
	postponed_by	uuid	YES	lunch_orders
false	is_no_order_delivery	boolean	YES	lunch_orders
	category_id	uuid	YES	lunch_orders
	menu_id	uuid	YES	lunch_orders
	manual_name	character varying	YES	lunch_orders
	payment_method	character varying	YES	lunch_orders
	payment_details	jsonb	YES	lunch_orders
	school_id	uuid	YES	lunch_orders
false	is_cancelled	boolean	NO	lunch_orders
0	base_price	numeric	YES	lunch_orders
0	addons_total	numeric	YES	lunch_orders
0	final_price	numeric	YES	lunch_orders
1	quantity	integer	YES	lunch_orders
'[]'::jsonb	selected_garnishes	jsonb	YES	lunch_orders
'[]'::jsonb	configurable_selections	jsonb	YES	lunch_orders
	parent_notes	text	YES	lunch_orders
	selected_modifiers	jsonb	YES	lunch_orders
'confirmed_paid'::lunch_order_payment_state	payment_flow_state	USER-DEFINED	NO	lunch_orders
	id	uuid	YES	lunch_orders_backup_mayo_09
	student_id	uuid	YES	lunch_orders_backup_mayo_09
	order_date	date	YES	lunch_orders_backup_mayo_09
	status	text	YES	lunch_orders_backup_mayo_09
	created_at	timestamp with time zone	YES	lunch_orders_backup_mayo_09
	updated_at	timestamp with time zone	YES	lunch_orders_backup_mayo_09
	created_by	uuid	YES	lunch_orders_backup_mayo_09
	notes	text	YES	lunch_orders_backup_mayo_09
	teacher_id	uuid	YES	lunch_orders_backup_mayo_09
	delivered_at	timestamp with time zone	YES	lunch_orders_backup_mayo_09
	cancelled_at	timestamp with time zone	YES	lunch_orders_backup_mayo_09
	postponed_at	timestamp with time zone	YES	lunch_orders_backup_mayo_09
	cancellation_reason	text	YES	lunch_orders_backup_mayo_09
	postponement_reason	text	YES	lunch_orders_backup_mayo_09
	delivered_by	uuid	YES	lunch_orders_backup_mayo_09
	cancelled_by	uuid	YES	lunch_orders_backup_mayo_09
	postponed_by	uuid	YES	lunch_orders_backup_mayo_09
	is_no_order_delivery	boolean	YES	lunch_orders_backup_mayo_09
	category_id	uuid	YES	lunch_orders_backup_mayo_09
	menu_id	uuid	YES	lunch_orders_backup_mayo_09
	manual_name	character varying	YES	lunch_orders_backup_mayo_09
	payment_method	character varying	YES	lunch_orders_backup_mayo_09
	payment_details	jsonb	YES	lunch_orders_backup_mayo_09
	school_id	uuid	YES	lunch_orders_backup_mayo_09
	is_cancelled	boolean	YES	lunch_orders_backup_mayo_09
	base_price	numeric	YES	lunch_orders_backup_mayo_09
	addons_total	numeric	YES	lunch_orders_backup_mayo_09
	final_price	numeric	YES	lunch_orders_backup_mayo_09
	quantity	integer	YES	lunch_orders_backup_mayo_09
	selected_garnishes	jsonb	YES	lunch_orders_backup_mayo_09
	configurable_selections	jsonb	YES	lunch_orders_backup_mayo_09
	parent_notes	text	YES	lunch_orders_backup_mayo_09
	selected_modifiers	jsonb	YES	lunch_orders_backup_mayo_09
gen_random_uuid()	id	uuid	NO	maintenance_config
	school_id	uuid	NO	maintenance_config
	module_key	text	NO	maintenance_config
false	enabled	boolean	NO	maintenance_config
'Módulo en Mantenimiento'::text	title	text	NO	maintenance_config
'Estamos trabajando para ofrecerte la mejor experiencia. Pronto estará disponible.'::text	message	text	NO	maintenance_config
'{}'::text[]	bypass_emails	ARRAY	NO	maintenance_config
	updated_by	uuid	YES	maintenance_config
now()	created_at	timestamp with time zone	YES	maintenance_config
now()	updated_at	timestamp with time zone	YES	maintenance_config
	schedule_start	time without time zone	YES	maintenance_config
	schedule_end	time without time zone	YES	maintenance_config
'America/Lima'::text	schedule_timezone	text	YES	maintenance_config
gen_random_uuid()	id	uuid	NO	manual_reconciliation_log
now()	created_at	timestamp with time zone	NO	manual_reconciliation_log
	reconciled_by	uuid	YES	manual_reconciliation_log
	reconciled_by_email	text	YES	manual_reconciliation_log
'izipay'::text	gateway_name	text	NO	manual_reconciliation_log
	gateway_ref_id	text	NO	manual_reconciliation_log
	gateway_tx_id	text	YES	manual_reconciliation_log
	student_id	uuid	NO	manual_reconciliation_log
	amount	numeric	NO	manual_reconciliation_log
'PEN'::text	currency	text	NO	manual_reconciliation_log
	payment_session_id	uuid	YES	manual_reconciliation_log
	new_transaction_id	uuid	YES	manual_reconciliation_log
false	was_idempotent	boolean	NO	manual_reconciliation_log
	evidence_notes	text	YES	manual_reconciliation_log
	izipay_dashboard_ref	text	YES	manual_reconciliation_log
'webhook_not_received'::text	failure_reason	text	YES	manual_reconciliation_log
nextval('mass_approve_results_id_seq'::regclass)	id	bigint	NO	mass_approve_results
gen_random_uuid()	batch_id	uuid	NO	mass_approve_results
	request_id	uuid	NO	mass_approve_results
	ok	boolean	NO	mass_approve_results
	message	text	YES	mass_approve_results
	billing_queue_id	uuid	YES	mass_approve_results
now()	processed_at	timestamp with time zone	NO	mass_approve_results
gen_random_uuid()	id	uuid	NO	menu_modifier_groups
	menu_id	uuid	NO	menu_modifier_groups
	name	character varying	NO	menu_modifier_groups
true	is_required	boolean	YES	menu_modifier_groups
1	max_selections	integer	YES	menu_modifier_groups
0	display_order	integer	YES	menu_modifier_groups
now()	created_at	timestamp with time zone	YES	menu_modifier_groups
now()	updated_at	timestamp with time zone	YES	menu_modifier_groups
gen_random_uuid()	id	uuid	NO	menu_modifier_options
	group_id	uuid	NO	menu_modifier_options
	name	character varying	NO	menu_modifier_options
false	is_default	boolean	YES	menu_modifier_options
0	display_order	integer	YES	menu_modifier_options
now()	created_at	timestamp with time zone	YES	menu_modifier_options
gen_random_uuid()	id	uuid	NO	modifier_favorites
	user_id	uuid	NO	modifier_favorites
	student_id	uuid	YES	modifier_favorites
	category_id	uuid	NO	modifier_favorites
'Mi Favorito'::character varying	favorite_name	character varying	YES	modifier_favorites
'[]'::jsonb	modifiers	jsonb	NO	modifier_favorites
0	use_count	integer	YES	modifier_favorites
	last_used_at	timestamp with time zone	YES	modifier_favorites
now()	created_at	timestamp with time zone	YES	modifier_favorites
now()	updated_at	timestamp with time zone	YES	modifier_favorites
	error_message	text	YES	most_frequent_errors
	error_translated	text	YES	most_frequent_errors
	occurrences	bigint	YES	most_frequent_errors
	affected_users	bigint	YES	most_frequent_errors
	last_seen	timestamp with time zone	YES	most_frequent_errors
	page_url	text	YES	most_frequent_errors
	component	text	YES	most_frequent_errors
gen_random_uuid()	id	uuid	NO	nfc_cards
	card_uid	text	NO	nfc_cards
	card_number	text	YES	nfc_cards
	holder_type	text	YES	nfc_cards
	student_id	uuid	YES	nfc_cards
	teacher_id	uuid	YES	nfc_cards
	school_id	uuid	NO	nfc_cards
true	is_active	boolean	NO	nfc_cards
	notes	text	YES	nfc_cards
	assigned_at	timestamp with time zone	YES	nfc_cards
	assigned_by	uuid	YES	nfc_cards
now()	created_at	timestamp with time zone	NO	nfc_cards
now()	updated_at	timestamp with time zone	NO	nfc_cards
uuid_generate_v4()	id	uuid	NO	nubefact_config
	school_id	uuid	NO	nubefact_config
	ruc	text	NO	nubefact_config
	razon_social	text	NO	nubefact_config
	direccion_fiscal	text	NO	nubefact_config
	ubigeo	text	YES	nubefact_config
	nubefact_token	text	NO	nubefact_config
true	is_sandbox	boolean	YES	nubefact_config
'B001'::text	serie_boleta	text	YES	nubefact_config
'F001'::text	serie_factura	text	YES	nubefact_config
'BC01'::text	serie_nota_credito_boleta	text	YES	nubefact_config
'FC01'::text	serie_nota_credito_factura	text	YES	nubefact_config
'BD01'::text	serie_nota_debito_boleta	text	YES	nubefact_config
'FD01'::text	serie_nota_debito_factura	text	YES	nubefact_config
'T001'::text	serie_guia_remision	text	YES	nubefact_config
0	current_boleta_number	integer	YES	nubefact_config
0	current_factura_number	integer	YES	nubefact_config
0	current_nc_boleta_number	integer	YES	nubefact_config
0	current_nc_factura_number	integer	YES	nubefact_config
0	current_nd_boleta_number	integer	YES	nubefact_config
0	current_nd_factura_number	integer	YES	nubefact_config
0	current_guia_number	integer	YES	nubefact_config
	logo_url	text	YES	nubefact_config
	email_envio	text	YES	nubefact_config
	telefono	text	YES	nubefact_config
	website	text	YES	nubefact_config
true	is_active	boolean	YES	nubefact_config
now()	created_at	timestamp with time zone	NO	nubefact_config
now()	updated_at	timestamp with time zone	NO	nubefact_config
uuid_generate_v4()	id	uuid	NO	nutritional_tips
	title	character varying	NO	nutritional_tips
	content	text	NO	nutritional_tips
	category	character varying	YES	nutritional_tips
true	is_active	boolean	YES	nutritional_tips
now()	created_at	timestamp without time zone	YES	nutritional_tips
uuid_generate_v4()	id	uuid	NO	parent_activity_log
	parent_id	uuid	NO	parent_activity_log
	event_type	text	NO	parent_activity_log
	event_category	text	NO	parent_activity_log
	event_data	jsonb	YES	parent_activity_log
	session_id	text	YES	parent_activity_log
	duration_seconds	integer	YES	parent_activity_log
now()	created_at	timestamp with time zone	YES	parent_activity_log
uuid_generate_v4()	id	uuid	NO	parent_profiles
	user_id	uuid	YES	parent_profiles
	school_id	uuid	YES	parent_profiles
	full_name	character varying	YES	parent_profiles
	dni	character varying	YES	parent_profiles
	address	text	YES	parent_profiles
	phone_1	character varying	YES	parent_profiles
	phone_2	character varying	YES	parent_profiles
false	phone_1_verified	boolean	YES	parent_profiles
false	phone_2_verified	boolean	YES	parent_profiles
true	payment_responsible	boolean	YES	parent_profiles
	terms_accepted_at	timestamp without time zone	YES	parent_profiles
	terms_version	character varying	YES	parent_profiles
false	onboarding_completed	boolean	YES	parent_profiles
true	approved_by_admin	boolean	YES	parent_profiles
now()	created_at	timestamp without time zone	YES	parent_profiles
	nickname	text	YES	parent_profiles
'free_account'::text	account_type	text	YES	parent_profiles
NULL::numeric	daily_limit	numeric	YES	parent_profiles
0.00	current_balance	numeric	YES	parent_profiles
false	photo_consent	boolean	YES	parent_profiles
	photo_consent_date	timestamp with time zone	YES	parent_profiles
'dni'::text	document_type	character varying	YES	parent_profiles
	registration_metadata	jsonb	YES	parent_profiles
	registration_ip	text	YES	parent_profiles
	email	text	YES	parent_profiles
	document_number	text	YES	parent_profiles
	full_name_2	text	YES	parent_profiles
	email_2	text	YES	parent_profiles
	dni_2	text	YES	parent_profiles
	address_2	text	YES	parent_profiles
'DNI'::text	document_type_2	text	YES	parent_profiles
	document_number_2	text	YES	parent_profiles
false	legal_acceptance	boolean	YES	parent_profiles
	legal_acceptance_date	timestamp with time zone	YES	parent_profiles
	browser_info	text	YES	parent_profiles
	os_info	text	YES	parent_profiles
	screen_resolution	text	YES	parent_profiles
	timezone	text	YES	parent_profiles
	language	text	YES	parent_profiles
now()	registration_timestamp	timestamp with time zone	YES	parent_profiles
now()	updated_at	timestamp with time zone	YES	parent_profiles
	responsible_2_full_name	character varying	YES	parent_profiles
	responsible_2_email	character varying	YES	parent_profiles
'DNI'::character varying	responsible_2_document_type	character varying	YES	parent_profiles
	responsible_2_dni	character varying	YES	parent_profiles
	responsible_2_phone_1	character varying	YES	parent_profiles
	responsible_2_address	text	YES	parent_profiles
	legal_acceptance_timestamp	timestamp with time zone	YES	parent_profiles
'neutro'::parent_behavior_profile	behavior_profile	USER-DEFINED	NO	parent_profiles
	behavior_notes	text	YES	parent_profiles
false	is_suspended	boolean	NO	parent_profiles
false	is_deleted	boolean	NO	parent_profiles
	deleted_at	timestamp with time zone	YES	parent_profiles
	deleted_by	uuid	YES	parent_profiles
	behavior_updated_at	timestamp with time zone	YES	parent_profiles
	behavior_updated_by	uuid	YES	parent_profiles
uuid_generate_v4()	id	uuid	NO	parent_sessions
	parent_id	uuid	NO	parent_sessions
	session_id	text	NO	parent_sessions
now()	started_at	timestamp with time zone	YES	parent_sessions
	ended_at	timestamp with time zone	YES	parent_sessions
	duration_seconds	integer	YES	parent_sessions
0	pages_viewed	integer	YES	parent_sessions
0	actions_taken	integer	YES	parent_sessions
	device_info	jsonb	YES	parent_sessions
gen_random_uuid()	id	uuid	NO	payment_gateway_config
	gateway_name	text	NO	payment_gateway_config
false	is_active	boolean	YES	payment_gateway_config
false	is_production	boolean	YES	payment_gateway_config
	merchant_id	text	YES	payment_gateway_config
	api_key	text	YES	payment_gateway_config
	api_secret	text	YES	payment_gateway_config
	webhook_secret	text	YES	payment_gateway_config
	api_url	text	YES	payment_gateway_config
	webhook_url	text	YES	payment_gateway_config
	callback_url	text	YES	payment_gateway_config
	settings	jsonb	YES	payment_gateway_config
1.00	min_amount	numeric	YES	payment_gateway_config
10000.00	max_amount	numeric	YES	payment_gateway_config
0.00	commission_percentage	numeric	YES	payment_gateway_config
0.00	commission_fixed	numeric	YES	payment_gateway_config
now()	created_at	timestamp with time zone	YES	payment_gateway_config
now()	updated_at	timestamp with time zone	YES	payment_gateway_config
gen_random_uuid()	id	uuid	NO	payment_sessions
	parent_id	uuid	NO	payment_sessions
	student_id	uuid	NO	payment_sessions
	school_id	uuid	NO	payment_sessions
'{}'::uuid[]	debt_tx_ids	ARRAY	NO	payment_sessions
	total_debt_amount	numeric	NO	payment_sessions
0	wallet_amount	numeric	NO	payment_sessions
	gateway_amount	numeric	NO	payment_sessions
	invoice_type	text	YES	payment_sessions
	invoice_client_data	jsonb	YES	payment_sessions
	voucher_url	text	YES	payment_sessions
	admin_notes	text	YES	payment_sessions
	reviewed_by	uuid	YES	payment_sessions
	reviewed_at	timestamp with time zone	YES	payment_sessions
'voucher'::text	gateway_name	text	YES	payment_sessions
	gateway_reference	text	YES	payment_sessions
	gateway_payload	jsonb	YES	payment_sessions
'initiated'::text	status	text	NO	payment_sessions
	fiscal_tx_id	uuid	YES	payment_sessions
	wallet_tx_id	uuid	YES	payment_sessions
now()	created_at	timestamp with time zone	NO	payment_sessions
	completed_at	timestamp with time zone	YES	payment_sessions
(now() + '00:30:00'::interval)	expires_at	timestamp with time zone	NO	payment_sessions
'pending'::gateway_payment_status	gateway_status	USER-DEFINED	YES	payment_sessions
'recharge'::text	request_type	text	YES	payment_sessions
'{}'::uuid[]	lunch_order_ids	ARRAY	NO	payment_sessions
	payment_gateway	text	YES	payment_statistics
	status	text	YES	payment_statistics
	total_transactions	bigint	YES	payment_statistics
	total_amount	numeric	YES	payment_statistics
	avg_amount	numeric	YES	payment_statistics
	unique_users	bigint	YES	payment_statistics
	first_transaction	timestamp with time zone	YES	payment_statistics
	last_transaction	timestamp with time zone	YES	payment_statistics
gen_random_uuid()	id	uuid	NO	payment_transactions
	user_id	uuid	NO	payment_transactions
	parent_profile_id	uuid	YES	payment_transactions
	amount	numeric	NO	payment_transactions
'PEN'::text	currency	text	YES	payment_transactions
	payment_gateway	text	NO	payment_transactions
	transaction_reference	text	YES	payment_transactions
	authorization_code	text	YES	payment_transactions
'pending'::text	status	text	NO	payment_transactions
	payment_method	text	YES	payment_transactions
	card_brand	text	YES	payment_transactions
