AUDITORIA ESTRUCTURAL — Bloque C2: funciones
Generado: 2026-06-19T07:07:32.358Z
Filas: 323
================================================================================

arguments	function_name	language	security	volatility
	set_updated_at_invoices	plpgsql	SECURITY INVOKER	VOLATILE
	show_limit	c	SECURITY INVOKER	STABLE
text	show_trgm	c	SECURITY INVOKER	IMMUTABLE
text, text	similarity	c	SECURITY INVOKER	IMMUTABLE
text, text	similarity_dist	c	SECURITY INVOKER	IMMUTABLE
text, text	similarity_op	c	SECURITY INVOKER	STABLE
text, text	strict_word_similarity	c	SECURITY INVOKER	IMMUTABLE
text, text	strict_word_similarity_commutator_op	c	SECURITY INVOKER	STABLE
text, text	strict_word_similarity_dist_commutator_op	c	SECURITY INVOKER	IMMUTABLE
text, text	strict_word_similarity_dist_op	c	SECURITY INVOKER	IMMUTABLE
text, text	strict_word_similarity_op	c	SECURITY INVOKER	STABLE
p_school_id uuid, p_supplier_id uuid, p_doc_type text, p_doc_number text, p_declared_total numeric, p_prices_include_igv boolean, p_notes text, p_evidence_path text, p_items jsonb, p_replaces_receipt_id uuid	submit_branch_supply_receipt	plpgsql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_items jsonb, p_notes text	submit_quick_stock_receipt	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_debt_tx_ids uuid[], p_lunch_order_ids uuid[], p_wallet_amount numeric, p_voucher_amount numeric, p_voucher_url text, p_reference_code text, p_invoice_type text, p_invoice_client_data jsonb	submit_voucher_with_split	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_dry_run boolean	sync_student_balance	plpgsql	SECURITY DEFINER	VOLATILE
	sync_student_names	plpgsql	SECURITY INVOKER	VOLATILE
	tg_enforce_spending_limit	plpgsql	SECURITY DEFINER	VOLATILE
	tg_force_free_account_mode	plpgsql	SECURITY DEFINER	VOLATILE
	tg_transactions_balance_sync	plpgsql	SECURITY DEFINER	VOLATILE
	tg_validate_lunch_order_deadline	plpgsql	SECURITY DEFINER	VOLATILE
	trg_fn_product_school_prices_scope_guard	plpgsql	SECURITY INVOKER	VOLATILE
	trg_fn_products_scope_prices_deactivate	plpgsql	SECURITY INVOKER	VOLATILE
	trg_fn_recharge_requests_promote_frozen	plpgsql	SECURITY DEFINER	VOLATILE
	trg_fn_transactions_promote_frozen	plpgsql	SECURITY DEFINER	VOLATILE
	trg_logs_pasarela_set_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	trigger_update_order_price	plpgsql	SECURITY INVOKER	VOLATILE
p_tenant_id uuid, p_sede_id uuid, p_venta_id uuid, p_menu_segundo_id uuid, p_fecha_entrega date, p_cliente_id uuid, p_comentario text, p_tarifa character varying, p_precio_congelado numeric	tuqui_materializar_pedido_almuerzo_pos	plpgsql	SECURITY DEFINER	VOLATILE
p_notas_item text, p_producto_nombre text	tuqui_nombre_linea_bitacora	plpgsql	SECURITY INVOKER	IMMUTABLE
p_venta_id uuid	tuqui_obtener_detalle_venta_bitacora	plpgsql	SECURITY DEFINER	VOLATILE
regdictionary, text	unaccent	c	SECURITY INVOKER	STABLE
text	unaccent	c	SECURITY INVOKER	STABLE
internal	unaccent_init	c	SECURITY INVOKER	VOLATILE
internal, internal, internal, internal	unaccent_lexize	c	SECURITY INVOKER	VOLATILE
	update_billing_payment_pending	plpgsql	SECURITY INVOKER	VOLATILE
	update_combos_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_configurable_groups_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_dev_backlog_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
p_deadline_time time without time zone, p_deadline_days integer	update_global_lunch_deadline	plpgsql	SECURITY DEFINER	VOLATILE
	update_inventory_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_lunch_categories_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_lunch_configuration_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_lunch_orders_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_modifier_favorites_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_modifier_groups_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_nfc_cards_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_parent_profiles_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_printer_configs_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_product_sales_count	plpgsql	SECURITY DEFINER	VOLATILE
	update_product_school_prices_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_promotions_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_sales_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_school_classrooms_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_school_levels_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_student_balance	plpgsql	SECURITY DEFINER	VOLATILE
	update_teacher_profiles_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
	update_updated_at_column	plpgsql	SECURITY INVOKER	VOLATILE
	update_weekly_menus_updated_at	plpgsql	SECURITY INVOKER	VOLATILE
p_source_type text, p_source_id uuid, p_business_ref text, p_destination_label text, p_storage_bucket text, p_storage_path text, p_content_hash text, p_template_version text	upsert_inventory_guide	plpgsql	SECURITY DEFINER	VOLATILE
p_type text, p_name text	upsert_lunch_item	plpgsql	SECURITY DEFINER	VOLATILE
p_password text	validate_admin_password	plpgsql	SECURITY DEFINER	VOLATILE
	validate_daily_limit	plpgsql	SECURITY INVOKER	VOLATILE
p_token uuid	validate_impersonation_token	plpgsql	SECURITY DEFINER	VOLATILE
p_request_id uuid, p_admin_id uuid, p_reason text	void_payment	plpgsql	SECURITY DEFINER	VOLATILE
p_order_id uuid, p_parent_id uuid	void_pending_lunch_order_v2	plpgsql	SECURITY DEFINER	VOLATILE
p_transaction_id uuid, p_admin_id uuid, p_reason text	void_pos_sale_with_nc	plpgsql	SECURITY DEFINER	VOLATILE
text, text	word_similarity	c	SECURITY INVOKER	IMMUTABLE
text, text	word_similarity_commutator_op	c	SECURITY INVOKER	STABLE
text, text	word_similarity_dist_commutator_op	c	SECURITY INVOKER	IMMUTABLE
text, text	word_similarity_dist_op	c	SECURITY INVOKER	IMMUTABLE
text, text	word_similarity_op	c	SECURITY INVOKER	STABLE
